"2","ACME Clicker","3.1ACMENo.470Clicker.png","Called 'crickets,' these toy clickers were supplied to the troops of the U.S. 101st Airborne Division to jump into Normandy with on D-Day, June 6th, 1944.  It was used as a communication device and was originally known as the No. 470 clicker. The orginals and these replicas were made by manufacturers J. Hudson and Co. Ltd of Birmingham, England, using the same machines and dyes. Made of brass, steel, and nickel. ","3D","","<script async src='https://api.cappasity.com/api/player/cappasity-ai'></script><iframe width='100%' height='600px' frameborder='0' allowfullscreen mozallowfullscreen='true' webkitallowfullscreen='true' style='border:0;' src='https://api.cappasity.com/api/player/dd0ab35a-1810-4540-9a80-e6598aab32eb/embedded?autorun=0&closebutton=1&logo=1&analytics=1&uipadx=0&uipady=0&enablestoreurl=0&storeurl=&hidehints=0&autorotate=0&autorotatetime=10&autorotatedelay=2&autorotatedir=1&hidefullscreen=1&hideautorotateopt=1&hidesettingsbtn=0&enableimagezoom=1&zoomquality=1&hidezoomopt=0&arbutton=1' ></iframe>","","Replica","c 1943-1944","J. Hudson and Co. Ltd of Birmingham, England.","Attic Artifacts: 101st Airborne","The General","IKEducation","101st Airborne; paratroopers; cricket; clicker; World War II; Communication; D-Day","","3.01"
"3","Carenten Post Card","3.2PostCardwithphotoofCarenten,France,thumbnail.png","Post Card with photo of main square in Carenten, France, c. 1920s. The town of Carenten, France was the link between American forces at Utah and Omaha Beaches because four highways and a railroad converged there. The 101st Airborne’s key objective following D-Day was to seize Carenten from the Nazis, which they did on June 12, 1944.","3D","","<script async src='https://api.cappasity.com/api/player/cappasity-ai'></script><iframe width='100%' height='600px' frameborder='0' allowfullscreen mozallowfullscreen='true' webkitallowfullscreen='true' style='border:0;' src='https://api.cappasity.com/api/player/16504cf2-88e5-4e78-858f-e84606ed3ee2/embedded?autorun=0&closebutton=1&logo=1&analytics=1&uipadx=0&uipady=0&enablestoreurl=0&storeurl=&hidehints=0&autorotate=0&autorotatetime=10&autorotatedelay=2&autorotatedir=1&hidefullscreen=1&hideautorotateopt=1&hidesettingsbtn=0&enableimagezoom=1&zoomquality=1&hidezoomopt=0&arbutton=1' ></iframe>","","Replica","c 1920s","unknown","Attic Artifacts: 101st Airborne","The General","IKEducation","101st Airborne; paratroopers; World War II; D-Day; post card; France","","3.02"
"4","Zones of France Map","3.3ClothmapZonesofFrance2ndEdition,1944,thumbnail.png","Replica of 'Zones of France' silk (rayon) map, 2nd Edition. On D-Day, this map was mainly used by US airborne troops who wore it around their necks. Silk maps were used because they did not make noise or tear easily, and they were easy to conceal. They allowed soldiers to find their way to safety if caught behind enemy lines.
   Issued pre D-Day, 4 March 1944, to Intelligence School #9, Western Europe, M19, to U.S. airborne troops and special forces operating behind enemy lines. Developed with the aid of the OSS and French Resistance, Britain’s military Intelligence Section, M10. Shows World-War-II military occupation zones. Includes inset of named occupation zones: Index to frontiers and legend. The division between occupied and non-occupied zones shown by dotted lines and arrows. Map covers parts of Belgium, Germany, Switzerland, Italy and Spain. Shows roads, railways, frontiers, rivers and lakes. Relief shown by gradient tints and spot heights. Prime meridian is Greenwich. Measures 58 x 56 cm.","3D","","<script async src='https://api.cappasity.com/api/player/cappasity-ai'></script><iframe width='100%' height='600px' frameborder='0' allowfullscreen mozallowfullscreen='true' webkitallowfullscreen='true' style='border:0;' src='https://api.cappasity.com/api/player/0e7e60b7-22ac-42c0-9503-c901c9f9d617/embedded?autorun=0&closebutton=1&logo=1&analytics=1&uipadx=0&uipady=0&enablestoreurl=0&storeurl=&hidehints=0&autorotate=0&autorotatetime=10&autorotatedelay=2&autorotatedir=1&hidefullscreen=1&hideautorotateopt=1&hidesettingsbtn=0&enableimagezoom=1&zoomquality=1&hidezoomopt=0&arbutton=1' ></iframe>","","Replica","1944","Originals printed by the company of John Waddington, Ltd.","Attic Artifacts: 101st Airborne","The General","IKEducation","101st Airborne; paratroopers; World War II; D-Day; map; France","","3.03"
"5","Camp Mackall","3.4CampMackall,NorthCarolinashirt,thumbnail.png","Many members of both the 101st and 82nd Airborne trained first at Camp Mackall, N.C.","3D","","<script async src='https://api.cappasity.com/api/player/cappasity-ai'></script><iframe width='100%' height='600px' frameborder='0' allowfullscreen mozallowfullscreen='true' webkitallowfullscreen='true' style='border:0;' src='https://api.cappasity.com/api/player/5a0ecdcd-7712-4b9c-8148-43f67d9fe4a8/embedded?autorun=0&closebutton=1&logo=1&analytics=1&uipadx=0&uipady=0&enablestoreurl=0&storeurl=&hidehints=0&autorotate=0&autorotatetime=10&autorotatedelay=2&autorotatedir=1&hidefullscreen=1&hideautorotateopt=1&hidesettingsbtn=0&enableimagezoom=1&zoomquality=1&hidezoomopt=0&arbutton=1' ></iframe>","","Replica","","Paratrooper2 Village de l'Amont
50500 Saint-Côme-du-Mont
France","Attic Artifacts: 101st Airborne","The General","IKEducation","101st Airborne; paratroopers; World War II; Camp Mackall; Attic Artifacts; D-Day","","3.04"
"6","compass","3.5WristCompass,thumbnail.png","Wrist Compass, liquid-filled.
This is a Bakelite plastic wrist compass with a leather adjustable band.  They were a general issue item, but were worn mostly by airborne troops.","3D","","<script async src='https://api.cappasity.com/api/player/cappasity-ai'></script><iframe width='100%' height='600px' frameborder='0' allowfullscreen mozallowfullscreen='true' webkitallowfullscreen='true' style='border:0;' src='https://api.cappasity.com/api/player/2a9456c8-c105-472c-9c74-fe9f7f4fc721/embedded?autorun=0&closebutton=1&logo=1&analytics=1&uipadx=0&uipady=0&enablestoreurl=0&storeurl=&hidehints=0&autorotate=0&autorotatetime=10&autorotatedelay=2&autorotatedir=1&hidefullscreen=1&hideautorotateopt=1&hidesettingsbtn=0&enableimagezoom=1&zoomquality=1&hidezoomopt=0&arbutton=1' ></iframe>","","Replica","","manufactured by Taylor ","Attic Artifacts: 101st Airborne","The General","IKEducation","101st Ariborne; paratroopers; World War II; D-Day; compass","","3.05"
"7","Jeep Campaign poster","4.11.Schools-At-WarJeepCampaign.1324.jpg","Schools-At-War Jeep Campaign,  Piper Cub L-4 'Grasshopper'  The Flying Jeep
1943, unsigned.","image","4.11.Schools-At-WarJeepCampaign.EisenhowerFoundation-1324.jpg","","","Replica","","","Attic Artifacts: World War II Kids","The General","IKEducation","World War II Kids; home front; Schools at War; World War II; Kids; Jeeps","","4.11"
"8","Help G.I. Joe poster","4.07.HelpEquipG.I.JoeWithyourWarSavings-1322.jpg","Help Equip G.I. Joe With your War Savings' poster.","image","4.07.HelpEquipG.I.JoeWithyourWarSavings.EisenhowerFoundation-1322.jpg","","","Replica","1944","Artist:  L. Horney. Published by U.S. Government Printing Office through the U.S. Department of the Treasury, War Finance Division","Attic Artifacts: World War II Kids","The General","IKEducation","World War II Kids; home front; Schools at War; World War II; Kids; G.I. Joe","","4.07"
"9","The New Triple Threat Schools at War poster","4.04.TheNewTriple-ThreatSchoolsatWar-JeepCampaignposters-1320.jpg","The New Triple-Threat Schools at War Jeep Campaign poster","image","4.04.TheNewTriple-ThreatSchoolsatWar-JeepCampaignposters.EisenhowerFoundation-1320.jpg","","","Replica","1943","Artist:  Reinhardt.  U.S. Government Printing Office","Attic Artifacts: World War II Kids","The General","IKEducation","World War II Kids; home front; Schools at War; World War II; Kids; Jeep","","4.04"
"10","Navy Scouts Paper Dolls","4.02d.NavyScouts.PaperDolls.1354.jpg","Navy Scouts Paper Dolls; Uncut set #3428","image","4.02d.NavyScouts.PaperDolls.EisenhowerFoundation-1354.jpg","","","Original","1942","Merrill Publishing Co., Chicago, Illinois.","Attic Artifacts: World War II Kids","The General","IKEducation","World War II Kids; home front; Schools at War; World War II; Kids; Paper Dolls","","4.02"
"11","Victory Paper Dolls","4.01.VictoryPaperDolls-1364.jpg","Victory Paper Dolls; Uncut set #2445","image","4.01.VictoryPaperDolls.EisenhowerFoundation-1364.jpg","","","Original","1943","Saalfield Publishing Co., Akron, Ohio.","Attic Artifacts: World War II Kids","The General","IKEducation","World War II Kids; home front; Schools at War; World War II; Kids; Paper Dolls","","4.01"
